,date,stock_name,open,high,low,close,volume
3163,2016-02-09 12:00:00,GS,123.4786,123.8965,122.6847,123.299,456116
3164,2016-02-09 11:00:00,GS,122.9521,124.6633,122.8435,123.4201,1119776
3165,2016-02-09 10:00:00,GS,123.8631,124.7322,122.8936,122.9772,993436
3166,2016-02-09 09:00:00,GS,122.1498,124.2726,121.264,123.8443,963360
3167,2016-02-09 08:00:00,GS,122.8518,122.8769,122.1582,122.434,3315
3168,2016-02-08 19:00:00,GS,124.4648,124.4648,124.4648,124.4648,1270
3169,2016-02-08 18:00:00,GS,124.5233,124.774,124.5233,124.774,400
3170,2016-02-08 17:00:00,GS,124.5233,124.7322,124.189,124.189,2300
3171,2016-02-08 16:00:00,GS,124.9579,125.3841,124.5149,124.5233,388747
3172,2016-02-08 15:00:00,GS,122.0579,124.9997,121.9409,124.7071,2015124
3173,2016-02-08 14:00:00,GS,121.406,122.693,121.3893,122.0245,874750
3174,2016-02-08 13:00:00,GS,122.6095,122.7683,121.406,121.4562,450282
3175,2016-02-08 12:00:00,GS,122.9187,123.5956,122.3671,122.6011,836000
3176,2016-02-08 11:00:00,GS,124.2976,124.4815,122.7181,122.9521,1059063
3177,2016-02-08 10:00:00,GS,125.4342,125.7435,123.8464,124.3478,1333811
3178,2016-02-08 09:00:00,GS,128.8774,129.078,125.359,125.4342,776064
3179,2016-02-08 08:00:00,GS,128.7103,128.7521,127.8746,128.7521,1700
3180,2016-02-05 18:00:00,GS,130.4569,130.7912,130.4569,130.7912,400
3181,2016-02-05 16:00:00,GS,130.7662,131.2091,130.7662,131.2091,263986
3182,2016-02-05 15:00:00,GS,130.3734,130.8999,130.1394,130.7244,906737
3183,2016-02-05 14:00:00,GS,130.6241,130.8748,130.2564,130.4152,399005
3184,2016-02-05 13:00:00,GS,130.6826,130.8999,130.1812,130.6575,268709
3185,2016-02-05 12:00:00,GS,131.159,131.4264,130.4235,130.6575,249894
3186,2016-02-05 11:00:00,GS,130.95,131.3679,130.1143,131.1966,502552
3187,2016-02-05 10:00:00,GS,132.5045,133.4656,130.8163,130.9417,819429
3188,2016-02-05 09:00:00,GS,131.3762,133.2901,131.042,132.4961,549384
3189,2016-02-05 08:00:00,GS,131.4515,132.003,130.1895,131.627,5642
3190,2016-02-05 06:00:00,GS,131.1255,131.1255,131.1255,131.1255,100
3191,2016-02-04 18:00:00,GS,130.3734,130.3734,130.3734,130.3734,100
