,date,returns,rewards,portfolio_values
201,2024-01-17,-0.00464397668838501,-265.23142793954963,110261.828125
202,2024-01-18,0.0045784711837768555,-265.6922951609632,110766.6640625
203,2024-01-19,0.008968710899353027,-266.8587598905085,111760.09375
204,2024-01-22,0.0021806955337524414,-268.19769446732465,112003.8125
205,2024-01-23,0.003682374954223633,-269.8527655548855,112416.25
206,2024-01-24,0.0038251876831054688,-271.8602807534874,112846.2578125
207,2024-01-25,0.011029958724975586,-275.12044456241244,114090.953125
208,2024-01-26,-0.0011953115463256836,-278.13115597259883,113954.578125
209,2024-01-29,0.0027878284454345703,-281.39498428372235,114272.2578125
210,2024-01-30,0.0015140771865844727,-284.7537174222858,114445.2734375
211,2024-01-31,-0.017489850521087646,-286.0795345578033,112443.640625
212,2024-02-01,0.0047338008880615234,-287.79360444866694,112975.921875
213,2024-02-02,0.002910137176513672,-289.764806845423,113304.6953125
214,2024-02-05,-0.0029392242431640625,-291.39001867523973,112971.6640625
215,2024-02-06,0.008123040199279785,-293.7972495974933,113889.34375
216,2024-02-07,0.0037425756454467773,-296.5672913865974,114315.578125
217,2024-02-08,0.0007327795028686523,-299.34018231086696,114399.3515625
218,2024-02-09,-0.0007472038269042969,-301.9457514331724,114313.875
219,2024-02-12,0.002378225326538086,-304.7442910633399,114585.734375
220,2024-02-13,-0.0150337815284729,-305.9695835734293,112863.078125
221,2024-02-14,0.001242518424987793,-307.250189309913,113003.3125
222,2024-02-15,0.011101126670837402,-309.550257107635,114257.7734375
223,2024-02-16,-0.0030127763748168945,-311.4931212749342,113913.5390625
224,2024-02-20,-3.933906555175781e-06,-313.375050526945,113913.09375
225,2024-02-21,0.008016228675842285,-316.0266608824636,114826.2421875
226,2024-02-22,0.006952047348022461,-319.4071726497547,115624.515625
227,2024-02-23,-0.0001601576805114746,-322.6720436200355,115606.0
228,2024-02-26,-0.009478747844696045,-324.81215363247577,114510.203125
229,2024-02-27,-0.0012704730033874512,-326.7636001714451,114364.71875
230,2024-02-28,0.0010824203491210938,-328.77003869246334,114488.515625
231,2024-02-29,4.029273986816406e-05,-330.72960539528725,114493.1328125
232,2024-03-01,0.00025522708892822266,-332.66172969759737,114522.359375
233,2024-03-04,-0.01124352216720581,-333.6106495814897,113234.7265625
234,2024-03-05,-0.003119349479675293,-334.30642614192936,112881.5078125
235,2024-03-06,0.0027583837509155273,-335.17409064034723,113192.8828125
236,2024-03-07,0.0026656389236450195,-336.21545485222373,113494.6171875
237,2024-03-08,0.0040084123611450195,-337.5391075808726,113949.5546875
238,2024-03-11,0.01056814193725586,-339.7572728495454,115153.7890625
239,2024-03-12,0.003939270973205566,-342.3151788654456,115607.40625
240,2024-03-13,0.0038303136825561523,-345.2013725880545,116050.21875
241,2024-03-14,0.004286289215087891,-348.4774690907864,116547.640625
242,2024-03-15,-0.0046198368072509766,-351.17363672024084,116009.2109375
243,2024-03-18,0.004828095436096191,-354.2989100229576,116569.3203125
244,2024-03-19,0.004828691482543945,-357.8825753821582,117132.1953125
245,2024-03-20,0.0055283308029174805,-362.017087882957,117779.7421875
246,2024-03-21,0.002390265464782715,-366.3265364228053,118061.265625
247,2024-03-22,-0.002171814441680908,-370.2524656597267,117804.859375
248,2024-03-25,-0.0024722814559936523,-373.785394790849,117513.609375
249,2024-03-26,-0.00018793344497680664,-377.20188565674573,117491.5234375
250,2024-03-27,0.011494755744934082,-381.8577008320069,118842.0546875
251,2024-03-28,0.001758575439453125,-386.60831552967414,119051.046875
252,2024-04-01,0.0012611150741577148,-391.3740894297125,119201.1875
253,2024-04-02,-0.0009694695472717285,-395.8856936640118,119085.625
254,2024-04-03,-0.004511773586273193,-399.7484699191012,118548.3359375
255,2024-04-04,-0.009765684604644775,-402.4936417672847,117390.6328125
256,2024-04-05,0.007270216941833496,-405.88752257442184,118244.0859375
257,2024-04-08,-8.463859558105469e-05,-409.1986286157209,118234.078125
