Date,Company,Stock Price,Net EPS,PE Ratio
30/6/2016,GOOG,35.09,1.39,25.23
31/3/2016,GOOG,38.05,1.33,28.67
31/12/2015,GOOG,38.8,1.27,30.49
31/3/2017,GOOG,42.28,1.18,35.85
30/9/2015,GOOG,31.78,1.14,27.91
30/6/2015,GOOG,26.94,1.06,25.49
31/3/2015,GOOG,27.67,1.06,26.11
31/12/2014,GOOG,26.47,1.05,25.17
30/9/2014,GOOG,29.35,0.95,30.78
30/6/2014,GOOG,29.16,0.97,30.12
31/3/2014,GOOG,27.88,0.96,29.13
31/12/2013,GOOG,28.03,0.95,29.4
30/9/2013,GOOG,21.91,0.92,23.78
30/6/2013,GOOG,22.02,0.87,25.43
31/3/2013,GOOG,19.87,0.84,23.71
31/12/2012,GOOG,17.7,0.81,21.89
30/9/2012,GOOG,18.87,0.8,23.64
30/6/2012,GOOG,14.51,0.84,17.2
31/3/2012,GOOG,16.04,0.83,19.44
31/12/2011,GOOG,16.16,0.78,20.66
30/9/2011,GOOG,12.88,0.77,16.69
30/6/2011,GOOG,12.67,0.73,17.32
31/3/2011,GOOG,14.68,0.68,21.51
31/12/2010,GOOG,14.86,0.66,22.58
30/9/2010,GOOG,13.15,0.62,21.35
30/6/2010,GOOG,11.13,0.58,19.31
31/3/2010,GOOG,14.19,0.55,25.79
31/12/2009,GOOG,15.51,0.51,30.36
